planid,plan_name
S5921377000,AARP Medicare Rx Saver from UHC (PDP)
S5921415000,AARP Medicare Rx Preferred from UHC (PDP)
H0432003000,AARP Medicare Advantage from UHC AL-0001 (HMO-POS)
H0432004000,AARP Medicare Advantage from UHC AL-0002 (HMO-POS)
H0432009000,UHC Dual Complete AL-D001 (HMO-POS D-SNP)
H0432012000,AARP Medicare Advantage Patriot No Rx AL-MA01 (HMO-POS)
H0432013000,UHC Dual Complete AL-V001 (HMO-POS D-SNP)
H0432017000,UHC Complete Care AL-5 (HMO-POS C-SNP)
H0710004000,UHC Nursing Home Plan EX-F001 (PPO I-SNP)
H1889009000,UHC Dual Complete AL-D002 (PPO D-SNP)
H1889015000,AARP Medicare Advantage from UHC AL-0004 (PPO)
H2802041000,AARP Medicare Advantage from UHC AL-0003 (HMO-POS)
H2802044000,UHC Dual Complete AL-V002 (HMO-POS D-SNP)
H2802064000,UHC Dual Complete AL-S1 (HMO-POS D-SNP)
H2802079000,AARP Medicare Advantage from UHC AL-6 (HMO-POS)
S5921357000,AARP Medicare Rx Saver from UHC (PDP)
S5921393000,AARP Medicare Rx Preferred from UHC (PDP)
H1889014000,AARP Medicare Advantage from UHC AR-0004 (PPO)
H1889019000,UHC Complete Care AR-5 (PPO C-SNP)
H1889025000,UHC Complete Care AR-6 (PPO C-SNP)
H2001034000,UHC Dual Complete AR-S001 (PPO D-SNP)
H2001035000,UHC Dual Complete AR-V001 (PPO D-SNP)
H2001065000,UHC Dual Complete AR-S2 (PPO D-SNP)
H2802060000,AARP Medicare Advantage Essentials from UHC AR-1 (HMO-POS)
H2802061000,AARP Medicare Advantage from UHC AR-0002 (HMO-POS)
H2802062000,AARP Medicare Advantage Patriot No Rx AR-MA01 (HMO-POS)
H2802063000,AARP Medicare Advantage Giveback from UHC AR-3 (HMO-POS)
H2802078000,AARP Medicare Advantage Extras from UHC AR-7 (HMO-POS)
R3444008000,UHC Complete Care Support AM-1A (Regional PPO C-SNP)
R3444009000,UHC Complete Care AM-1 (Regional PPO C-SNP)
R3444012000,UHC Medicare Advantage AM-0002 (Regional PPO)
S5921364000,AARP Medicare Rx Saver from UHC (PDP)
S5921400000,AARP Medicare Rx Preferred from UHC (PDP)
S5820034000,AARP Medicare Rx Preferred from UHC (PDP)
H0321002000,UHC Dual Complete AZ-S001 (HMO-POS D-SNP)
H0321004000,UHC Dual Complete AZ-Y001 (HMO-POS D-SNP)
H0609025000,AARP Medicare Advantage Essentials from UHC AZ-1 (HMO-POS)
H0609026000,AARP Medicare Advantage Essentials from UHC AZ-2 (HMO-POS)
